route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
6651,TL,130,Willingdon,,3,https://translink.ca/schedules-and-maps/route/130/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=130,,
6652,TL,134,Lake City Station/Brentwood Station,,3,https://translink.ca/schedules-and-maps/route/134/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=134,,
6654,TL,136,Lougheed Station/Brentwood Station,,3,https://translink.ca/schedules-and-maps/route/136/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=136,,
6656,TL,143,SFU Exchange/Burquitlam Station,,3,https://translink.ca/schedules-and-maps/route/143/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=143,,
6657,TL,144,SFU Exchange/Metrotown Station,,3,https://translink.ca/schedules-and-maps/route/144/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=144,,
6658,TL,145,SFU Exchange/Production Station,,3,https://translink.ca/schedules-and-maps/route/145/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=145,,
6659,TL,151,Como Lake Ave,,3,https://translink.ca/schedules-and-maps/route/151/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=151,,
6660,TL,152,Coquitlam Central Station/Lougheed Station,,3,https://translink.ca/schedules-and-maps/route/152/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=152,,
6661,TL,153,Coquitlam Central Station/Braid Station,,3,https://translink.ca/schedules-and-maps/route/153/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=153,,
6662,TL,128,8th Avenue,,3,https://translink.ca/schedules-and-maps/route/128/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=128,,
6663,TL,155,6th Avenue,,3,https://translink.ca/schedules-and-maps/route/155/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=155,,
6664,TL,156,Braid Station/Lougheed Station,,3,https://translink.ca/schedules-and-maps/route/156/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=156,,
6665,TL,157,Burquitlam Station/Lougheed Station,,3,https://translink.ca/schedules-and-maps/route/157/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=157,,
6666,TL,159,Coquitlam Central Station/Braid Station,,3,https://translink.ca/schedules-and-maps/route/159/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=159,,
6667,TL,160,Port Coquitlam Station/Kootenay Loop,,3,https://translink.ca/schedules-and-maps/route/160/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=160,,
6668,TL,169,Coquitlam Central Station/Braid Station,,3,https://translink.ca/schedules-and-maps/route/169/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=169,,
